Bait Accession,Prey Accession,24hpi_SAINT,24HPI,48hpi_SAINT,48HPI,72hpi_SAINT,72HPI,96hpi_SAINT,96HPI,120hpi_SAINT,120HPI
P16778,P20674,0.6,44281.98045,,24750.30858,0,27779.55942,0.87,29917.28066,0.9,35391.3247
P16778,O75947,0,4181.80705,,2497.710604,0.4,3311.61624,0.9,3598.651072,0.92,3805.160761
P16778,O75746,0,14039.37136,0.45,14472.4555,0.69,14724.897,0.64,16911.2283,0.91,14220.89323
P16778,O60830,,12177.79212,,4676.439002,0,3170.985789,0.91,4283.499492,0.9,4140.178428
P16778,P42704,1,678678.674,1,754604.9586,1,926090.1396,1,804461.5977,1,620649.8971
P16778,O75306,0.25,31866.67099,0.44,30302.98214,0.81,25036.53977,0.5,23877.67732,0.92,13433.51116
P16778,O00471,,15420.45339,0.65,29166.87449,0.97,22091.67443,0.88,22221.80712,0.95,10971.11967
P16778,O00165,0,3988.210889,,8672.47625,0.39,5998.021951,0,7271.077599,0.95,6151.32694
P16778,Q9Y512,0.78,74345.93663,0.99,162065.8028,0.99,89893.58166,1,115645.7438,0.99,64493.58374
P16778,Q9NZJ7,0.61,51062.29228,0.92,59218.82325,1,64347.41031,0.99,68730.63211,0.99,30231.68833
P16778,Q8NE86,,13865.80871,,13240.05797,0.37,10960.26493,0.95,13321.35866,0.95,12078.29107
P16778,P35232,0,204273.6814,0.04,80170.05092,0.84,84283.87541,0.99,109616.064,1,78064.44098
P16778,P31040,0.09,8490.383295,0.37,10582.7818,0.93,5094.002665,0.94,8150.096155,0.88,4863.775668
P16778,Q9UH62,0.82,93689.34381,0.99,162511.9324,1,173659.9438,1,210370.4016,1,132582.4775
P16778,Q5SRD1,0,7339.575678,0,10385.17391,0.82,11396.13416,0.9,14098.33551,0.85,7457.678073
P16778,Q9BVV7,,11533.09747,,11711.33909,0.47,22728.72962,0.42,27743.3416,0.97,20626.67079
P16778,P40939,1,4211042.234,0.99,6719552.148,1,8201286.208,1,8321644.887,1,5985113.259
P16778,O75431,0.4,16762.21746,0.84,37691.734,0.99,19027.36482,0.98,28588.56349,0.96,22061.52641
P16778,Q86WV6,,23613.70381,0.43,48966.16359,1,73036.14755,0.99,80275.87718,0.99,50030.02276
P16778,Q6NUK1,0.46,15560.86024,0.01,14605.13069,0.92,8065.052903,0.88,7857.036889,0,4021.937687
P16778,Q9BUK6,,196738.5418,,65245.25763,0.39,57591.90769,0.92,15312.17366,,11164.51498
P16778,P07919,0.32,55469.18842,0,69651.61,0.96,91740.53632,0.96,70054.55927,0.97,63865.85228
P16778,Q07021,,37423.97389,0.77,25878.15195,0.93,17765.35153,0.97,20715.09275,0.98,23888.46644
P16778,Q9BPX6,,8841.618407,0.74,15096.76738,0.96,14391.17933,0.95,15014.4669,0.98,7961.66684
P16778,Q9UBX3,0,24557.59036,0.51,34971.70091,0.99,35785.4182,0.99,41566.54665,0.97,29316.08386
P16778,O00743,,11023.70241,0,21089.56685,0.91,11478.93255,0.97,15110.5066,0.41,7881.501704
P16778,Q9H4A6,0,8818.63816,0,8520.438175,0.83,8211.46638,0.9,7605.016019,0.9,4275.483201
P16778,Q16611,0.47,45489.38086,0.63,71555.63747,1,80143.60228,0.97,79181.42506,1,53574.03618
P16778,P31689,0.36,216993.1978,0.21,320221.3935,0.46,227289.6662,0.99,238542.3688,0.58,165622.3705
P16778,Q9UJS0,0,95015.39213,0.62,108892.7176,0.61,133057.7251,0.45,166830.6527,0.96,124938.0981
P16778,Q5T9A4,0.98,313471.9694,0.68,538238.8263,1,494159.1045,0.99,600713.9325,1,402684.8067
P16778,O43169,0.23,14826.68053,,7484.687114,0.9,6360.59184,0.93,9298.532116,0.94,17077.95903
P16778,Q15070,,7890.559299,,9282.137327,0.74,16739.71646,0.92,15458.57457,0,11983.2999
P16778,Q9Y6C9,1,348022.8201,0.6,401416.0047,1,452746.1004,0.97,463029.4763,0.99,329820.1647
P16778,P36542,0,29045.36247,0,22812.96052,0.82,20612.31639,0.93,21163.19712,0.1,15397.14548
P16778,Q9NX63,0.84,134335.3252,0.99,418124.2195,0.99,270905.186,0.99,252364.4713,0.89,147442.3099
P16778,Q3ZCQ8,0,23614.30119,0.02,27560.8614,0.36,31509.15895,0.21,38469.52027,0.98,24151.64367
P16778,P55084,0.88,2320543.691,1,3893415.416,1,4241567.41,1,4466973.298,1,2858269.679
P16778,Q9H061,,3716.400659,0,5796.320522,0.47,4887.029325,0.97,7878.026136,0.97,3960.14422
P16778,Q9UDW1,0,79221.69051,0.4,83287.3412,0.9,82690.36462,0.96,73618.23075,0.99,71387.9447
P16778,Q9Y277,0.98,927010.1426,0.83,1017570.401,0.99,913426.2921,0.99,989306.6754,1,628459.02
P16778,Q8IYU8,0,8726.875245,0.47,8880.619506,0.95,8670.453492,0.99,9775.610007,0.91,4781.331994
P16778,P31930,0.31,71790.53844,0.07,46481.39184,0.87,66997.39814,1,74192.79478,0.62,42582.65385
P16778,Q9Y3E5,,4293.812099,0,9995.808204,0,10258.087,0.94,24527.44977,0.93,12123.08065
P16778,Q9H845,,6455.484601,,9330.611236,0.35,7827.300807,0.43,9198.617598,0.96,7629.016868
P16778,Q9GZT3,0.6,63611.19404,0.96,154657.0928,0.99,172365.3517,0.98,158660.9065,1,118959.9241
P16778,Q96HS1,0.75,24997.36568,0.94,32909.54307,0.96,21181.11661,0.98,28301.69506,0.91,14232.98535
P16778,P08574,0.94,117007.7468,0.99,105864.0258,0.99,92961.51908,1,90003.0712,0.96,89048.26885
P16778,O75962,0,171493.2108,0.97,99976.73181,0.12,18456.97728,,13809.39038,,3470.540798
P16778,Q02978,0.61,59424.07192,0.34,53625.99118,0.62,80813.63018,0.94,90369.69356,0.93,97679.82167
P16778,Q16795,0.49,74135.49856,0,28667.23836,0,12610.0002,0.93,12489.97482,0.95,14914.10386
P16778,P63167,0,29254.46296,0.86,43520.46093,0.95,12004.95132,0.85,10213.08508,0.43,15683.03197
P16778,Q9NVH1,,5970.486612,0,5797.021108,0.68,6973.392591,0.9,8530.162078,0.91,5075.174074
P16778,P50416,0.21,21429.84383,0.8,25174.88648,0.77,29431.27777,0.8,30582.88775,0.99,17773.78948
P16778,Q6NZI2,0,229249.2593,0.5,948555.9598,0.05,86857.62505,1,230253.9606,0.01,25176.40778
P16778,P30049,0,21732.20522,,5590.787928,0,10677.88934,0.9,9110.478218,0.89,8230.902089
P16778,Q8IXI2,0,4299.67052,0.34,5834.664763,0.8,12863.18515,0.96,10178.18988,0.79,3087.616794
P16778,Q9NVI7,0.94,97616.17592,0.96,181388.1596,1,159731.8616,0.99,197671.95,1,99279.94882
P16778,P19404,0,11462.58681,0,6063.865259,0.82,5584.525253,0.9,6702.268588,0,5844.439442
P16778,Q9UJZ1,0.73,76353.86541,0.99,84770.82166,0.99,84590.07152,1,144881.4863,1,77017.74597
P16778,O96008,0.91,66163.95913,0.86,70683.81561,1,106155.9247,1,108520.5129,1,80402.00915
P16778,Q16891,1,504183.2062,1,1143901.956,1,618702.3594,1,780480.4371,1,388410.4423
P16778,Q5T160,0,7646.513192,0.61,8505.750403,0.96,8283.34581,0.95,7599.689504,0.91,6341.454178
P16778,Q96TA2,0.65,53316.68755,0.64,106718.4116,0.85,63195.94072,0.99,53526.31428,1,35303.78476
P16778,P32189,0.46,90788.71888,0.46,76031.997,0.98,71756.97009,0.43,68225.73413,1,45252.26585
P16778,Q07812,1,1605662.881,1,1803345.398,1,1751506.476,1,2291182.73,1,1439758.522
